"processexplorer.exe","Aspen Process Explorer","Infoplus.21","Infoplus.21","The Aspen Process Explorer is a charting tool for data stored in the Infoplus.21 historian. It is currently only used with the HBI CIM 3/4."
"mqasssay.fmx","MQ OPD - Assayed & Verified Grades","Oracle Forms","Oracle","These two forms are used to provide information on ore assayed and verified over a user specified period of time. This information is placed into both a text and Excel file."
"mqvergrd.fmx","MQ OPD - Assayed & Verified Grades","Oracle Forms","Oracle","These two forms are used to provide information on ore assayed and verified over a user specified period of time. This information is placed into both a text and Excel file."
"mq h2o results.mdb","MQ Smoothed H20","Access 7","Oracle","Provides information for the Ore Graders about the ""wetness"" of the ore over the past 100 production periods plotted against targets and limits as set by the Quality Control Supervisor."
"mq lump results.mdb","MQ Smoothed Lump","Access 7","Oracle","This page covers the ""mq crs lump results"" (for the crushers) and ""mq all lump results"" (for all contributors) applications. Each application is made up of two Access database files one for setting controls and the other for displaying the results graphs"
"mq lump results-control.mdb","MQ Smoothed Lump","Access 7","Oracle","This page covers the ""mq crs lump results"" (for the crushers) and ""mq all lump results"" (for all contributors) applications. Each application is made up of two Access database files one for setting controls and the other for displaying the results graphs"
"hbiohs.mdb","OHS Reports","Access 7","Oracle","Used to produce reports on incidents, hazards and actions that have been recorded in the ORM System. It also produces KPI figures on Incidents and actions."
"ioohs.mdb","OHS Reports","Access 7","Oracle","Used to produce reports on incidents, hazards and actions that have been recorded in the ORM System. It also produces KPI figures on Incidents and actions."
"ohs.mdb","OHS Reports","Access 7","Oracle","Used to produce reports on incidents, hazards and actions that have been recorded in the ORM System. It also produces KPI figures on Incidents and actions."
"metbal interface.mdb","OPD MetAccount Interface","Access 97","Access97 Oracle","The purpose of the OPD MetAccount Interface application is to allow authorised users to transfer data from the JKMetAccount package into the Production Recording System (PRS)."
"opdoismis.exe","OPD OIS/MIS Configuration Application","VB 5","Oracle 7.3","Provides the interface for configuring the data capture information requesting this information be loaded into the Data Transfer System and requesting variable and alarm tag definitions be loaded from the OIS to the MIS."
"metbal.exe","OPP Metbal","VB 5","Oracle","Metallurgical mass balance system for BHP Hot Briquetted Iron."
"signals.exe","OPP Signals","VB 5","Oracle","Used to define all the PLC signal names at the Ore Preparation Plant at Boodarie."
"corr.mdb","Ops Correspondence Register","Access 97","Access 97",
"ormgcs.exe","ORM","Inform GCS","Oracle","The ORM system is used for recording incidents, hazards, injuries and absences that occur to BHP staff."
"ots.exe","OTS","VB 5 Crystal Reports","Oracle PL/SQL","The purpose of the Operations Training System (OTS) is to record the training history and competencies of HBI employees and to schedule future training courses."
"paoper.fmx","PARIS","Oracle Forms","Oracle","The PARIS system is used to provide information on plant productivity, availability and utilisation as well as delay and breakdown detail over extended periods of time."
"paopper*","PARIS","Oracle Forms","Oracle","The PARIS system is used to provide information on plant productivity, availability and utilisation as well as delay and breakdown detail over extended periods of time."
"permints.mdb","Permits","Access V2","Access V2",
"pcr.mdb","Pre-Commissioning Reg","Access V2","Oracle","Tracks the status of various types and locations of equipment on the HBI plant prior to commissioning through the use of check-lists."
"reg_com.mdb","Pressure Vessels","Access V2","Access V2",
"prs.exe","Production Recording System","VB 5 Crystal Reports","Oracle PL/SQL C++","The PRS is a data recording, analysis and reporting system used for managing a materials processing plant. Information relating to production volumes and plant availability is recorded by the PRS as well as ancillary information."
"pvaappl.mdb","Project Value & Analysis","Access V2","Access V2",
